index,_source.ping,_source.download,_source.upload
AVJ5hIL5pNeT6-VcQu3R,224.799,309.83,11.29
AVJ_hqkNtBdBM4YfMA05,114.363,202.34,16.79
AVKIHBxV1-IoxlsSY9El,158.391,271.79,30.79
AVKJVGKdUh2c4ge8064U,148.449,308.93,21.24
AVKCWP7klptv7zzU3mu6,61.433,908.67,44.18
AVKE5A0pFyjGwzrchve_,374.632,242.89,0
AVJg8wrvaMc9yvLldSLs,78.01,544.68,13.68
AVJ6DgQbpNeT6-VcQu3a,221.971,72.17,0
AVJ_vZmatBdBM4YfMA07,84.01,622.3,16.1
AVJ58vArpNeT6-VcQu3Y,159.764,151.12,0
AVKXNkhiAbHG_ZhY14cB,107.254,383.42,20.83
AVKXPNWlAbHG_ZhY14cG,145.035,446.64,24.49
AVKNQoLNez-cFX1BBTIC,55.248,674.63,48.94
AVKNeYVtez-cFX1BBTIE,51.506,615.42,50
AVKR--V5EmL7jBW9sIpQ,86.319,492.15,31.16
AVKSMgAPEmL7jBW9sIpS,102.302,459.94,5.19
AVKXc4GIAbHG_ZhY14cK,57.063,536.61,28.93
AVKebP669Nf0hOj-hf21,67.757,619.96,33.24
AVKd_var9Nf0hOj-hf2t,73.314,518.14,38.6
AVKoZyRsJFuZefE8nwyK,111.274,326.3,24.19
AVK8dzXadrcoVnJpWK_-,116.604,285.25,15.59
AVK8riiMdrcoVnJpWLAA,121.327,331.09,44.13
AVKoMGBoJFuZefE8nwyI,205.265,391.62,34.41
AVK8VlUZdrcoVnJpWK_8,60.682,321.38,28.41
AVLGBGTpZcWGU93s1WqI,109.652,218.1,26.13
AVKouXiOJFuZefE8nwyN,128.244,169.74,31.82
AVLFlamrZcWGU93s1WqE,47.342,259.02,12.9
AVK9VCIfdrcoVnJpWLAG,238.307,67.91,6.53
AVNBX3rzeKkEHGUGmz5-,55.455,1072.22,32.62
AVM0M1VyjEI3jKYzImXW,135.507,202.72,0
AVNBZS9SeKkEHGUGmz6C,49.922,911.77,18.9
AVM9v1pW4rOXxX_VIwEk,51.464,413.94,20.43
AVLRmfan6yywsC3U7NdI,111.824,211.32,30.31
AVMZRSxPUJ8YOduz7nSb,56.277,801.78,13.24
AVMkv8gWKodYmN8i_ssT,60.555,919.18,32.44
AVMzqX7oyDF4XZypKInu,59.773,710.53,30.38
AVMUw4mv68sla7A6Fa09,134.903,153.73,0
AVNnDd7L05pNF-8vrrGi,54.422,1284.71,39.56
AVNm8kEO05pNF-8vrrGh,59.717,1019.67,38.45
AVNnKYVL05pNF-8vrrGj,64.368,567.36,30.91
AVNX0Zt6npR_PNX8I6et,68.735,324.77,0
AVNdHayqBgQjg7yoIfBs,62.218,646.52,11.61
AVNdLuSIBgQjg7yoIfBy,56.12,1050.38,17.88
AVNm1tq905pNF-8vrrGg,53.983,976.93,60.65
AVNXfu13npR_PNX8I6eq,65.236,402.56,0
AVNmaLzM05pNF-8vrrGb,61.555,610.09,18.98
AVOAQ-YlkFJNaIm13xC8,188.116,344.17,0
AVOAX_9DkFJNaIm13xC9,167.501,402.91,14.92
AVOEc54DyPAVaYFl9Rj9,84.299,449.04,14.22
AVNqRltKv-dQ3RmIRhS5,64.507,512.7,8.52
AVNvozr3EtqQYxC7FYoo,58.76,777.93,22.75
AVNvvpiQEtqQYxC7FYop,57.357,569,27.58
AVOADWSskFJNaIm13xC6,84.663,285.41,0
AVOAfA_hkFJNaIm13xC-,86.948,303.67,0
AVOEjy66yPAVaYFl9Rj_,62.188,228.38,29.96
AVOExYDPyPAVaYFl9RkC,130.708,315.16,0
AVOfs0ovkRxG9-ZgWdbE,105.564,304.71,0
AVOlEQ6Bfb36rNi23jhD,66.625,759.46,13.6
AVOomwQ7g_BfZfoZ9q8b,53.108,668.84,23.51
AVOtFweCuNTDPmp7XV1a,52.624,1036.54,61.01
AVOE4eAayPAVaYFl9RkE,88.169,244.43,5.16
AVOFdrGQxMYs5sgl1HbZ,81.467,529.11,6.33
AVOfKiBUkRxG9-ZgWda6,65.211,535.29,0
AVOfzryrkRxG9-ZgWdbF,58.083,589.67,0
AVO0aIg39V3DJQigIHTD,52.651,1137.22,55.06
AVO3ZGOyRtTv5l1yiiki,58.334,1063.45,26.74
AVO3abQLRtTv5l1yiiko,160.187,613.92,42.8
AVO4Dk5MRtTv5l1yiikx,56.782,1247.78,52.12
AVO5_Md9vL-Oy8C5h1F1,50.358,1036.03,56.42
AVOtpchCuNTDPmp7XV1n,50.043,1082.56,0
AVO0TTJP9V3DJQigIHTC,50.224,1164.64,51.2
AVO0hDzC9V3DJQigIHTE,62.098,970.34,34.47
AVO5jzLrvL-Oy8C5h1Fw,50.447,508.43,25.49
AVRnJqJzdIivaTilU-Za,150.602,1097.66,56.62
AVPiU-EXD3bwrN-fcB7g,136.952,560.01,0
AVRIUJitEQ4v7a9I5v_y,60.461,972.19,68.35
AVRmb8jqZ81GgHf14_Sz,65.037,483.36,16.09
AVRm74s7dIivaTilU-ZW,55.884,860.72,73.71
AVPCyNxLLjzBw7Rwx1ta,85.357,247.19,0
AVPDpKSxLjzBw7Rwx1tj,49.946,1279.06,0
AVPh5mjfD3bwrN-fcB7Z,61.128,455.38,14.59
AVPDwAvJLjzBw7Rwx1tk,87.6,848.1,0
AVTEI6KSQz7Uzf_a4P-L,56.409,1210.68,58.72
AVTFrC3OhcTt0DQEvMSg,61.823,571.45,49.01
AVRs1lzwyguOH7xPwvs6,74.448,525.42,47.46
AVS6n8QKfGSGjTlDSC92,161.271,145.77,19.31
AVTEtQysQz7Uzf_a4P-X,63.729,303.94,33.61
AVRnQf40dIivaTilU-Zc,52.98,862.29,45.43
AVRo4SFLGcnKEtmAm6ed,56.077,214.17,53.7
AVTJpFMAIIvlMi54dHr4,51.857,1083.59,33.98
AVTII7AzFvgPiaEjekoz,54.445,609.73,46.13
AVTJ9q9dIIvlMi54dHr-,59.784,985.73,43.25
AVTS3v13gdb4FXxv_3YF,201.559,150.17,11.12
AVTo-BeK9kdnGm4-yPqC,75.182,512.15,49.36
AVTH8ZXJFvgPiaEjekox,58.502,246.12,66.79
AVTJ2tNyIIvlMi54dHr8,51.947,837.18,0
AVTfa_Zjm2ogp-tAuM4p,54.847,529.83,46.31
AVTfovEwm2ogp-tAuM4s,76.49,110.11,63.04
AVT3FpxbzlYwYiXREuB2,65.731,836.26,65.2
AVT3dDQEzlYwYiXREuB8,55.087,1077.9,70.54
AVT72h9iOpxj9MJw072B,53.691,437.37,43.42
AVJpNWaX8CSfbCopiUEb,51.947,1062.29,44.9
AVJkK2iQSrDTrXg4plDe,99.403,247.21,38.98
AVJ6e16GpNeT6-VcQu3h,185.166,241.73,0
AVJ96ufhTw8lgwptn0-v,141.075,159.8,20.85
AVJ_Zsy6tBdBM4YfMA02,74.483,661.12,34.79
AVKCh1Q9lptv7zzU3mu8,102.134,438.76,0
AVKIEIw21-IoxlsSY9Eh,65.268,480.42,33.9
AVJ_2WFotBdBM4YfMA08,83.47,645.62,20.01
AVKEyKmgFyjGwzrchve8,204.614,273.9,0
AVKCbGfBlptv7zzU3mu7,58.62,325.52,41.98
AVKNNXGqez-cFX1BBTIA,60.946,175.07,38.97
AVKSaOONEmL7jBW9sIpV,159.674,82.51,21.74
AVKd71Gy9Nf0hOj-hf2p,75.196,336.99,12.15
AVKeUW9L9Nf0hOj-hf2z,66.257,710.61,29.8
AVKNXcGkez-cFX1BBTID,57.967,496.97,22.72
AVKR-oaQEmL7jBW9sIpP,80.053,279.13,17.7
AVKSFpxMEmL7jBW9sIpR,183.205,134.25,7.95
AVKXV9-mAbHG_ZhY14cI,58.855,586.36,37.56
AVKS1s4kEmL7jBW9sIpa,123.702,123.22,38.92
AVKoIZA8JFuZefE8nwyH,61.321,1001.37,63.04
AVKoS-SZJFuZefE8nwyJ,56.209,516.42,26.34
AVKtz7Nkla0j39v5IbkH,50.999,686.06,43.41
AVKt-yLZla0j39v5IbkP,47.032,889.34,45.73
AVKw114-ngG8B2OEHX-F,56.962,918.58,11.65
AVKw4NGmngG8B2OEHX-G,49.711,583.07,47.44
AVKxF5psngG8B2OEHX-J,49.67,1017.04,49.99
AVKogqUCJFuZefE8nwyL,80.125,303.77,39.91
AVKtjTZVMGa0aydAWgJC,94.037,298.01,0
AVMU3uua68sla7A6Fa0_,221.596,436.35,22.95
AVLFjrRaZcWGU93s1WqC,56.444,611.75,32.58
AVLRAn4b6yywsC3U7Nc6,77.795,849.2,43.77
AVLREFib6yywsC3U7Nc-,50.187,990.45,65.73
AVK8yaLAdrcoVnJpWLAB,220.772,150.85,30.11
AVK4EVFqupTj1oWsPcqM,96.435,417.65,26.97
AVLBgfIQ8uCvMwS4XxJR,52.916,501.69,15.54
AVLBuP1T8uCvMwS4XxJV,71.43,101.35,52.56
AVLApw52Il5bLKWpktl6,76.309,531.99,4.87
AVMZe_NpUJ8YOduz7nSc,140.616,240.87,0
AVMZl3JRUJ8YOduz7nSd,140.358,238.91,0
AVMkpHuhKodYmN8i_ssQ,51.565,671.13,34.88
AVMvNlfhLZsCNMbDooaW,97.938,549.81,13.1
AVMt3otOBs9GBwZ63mvH,77.066,307.55,0
AVM0LLMajEI3jKYzImXV,124.634,157.95,6.07
AVNW9fdSnpR_PNX8I6el,58.584,359.95,9.57
AVM0Tj48jEI3jKYzImXX,69.356,424.06,0
AVM92trp4rOXxX_VIwEu,51.4,843.72,21.24
AVNqzzH1v-dQ3RmIRhTJ,56.616,1103.95,24.77
AVNmu3Fl05pNF-8vrrGe,53.723,717.05,44.49
AVNsazUTO9ixzk3ZULuj,54.802,634.15,19.69
AVNvl-JQEtqQYxC7FYoi,63.794,1223.04,29.68
AVN3QRIGqFR1KAJFoVGK,68.298,402.53,35.21
AVNh56Sa4z9A7pxcIgKl,61.848,511.94,6.12
AVNw0W3ocQp15pmC-_g6,92.546,481.25,5.83
AVNicLoxC0xWdBMu0LBS,66.221,834.31,0
AVNijEWcC0xWdBMu0LBV,97.323,604.63,6.78
AVN7Dn4KgsdpRfyYG7QO,63.769,1124.08,43.05
AVOFrLmy4JHS05ZIBEBx,56.611,1173.54,31.96
AVN7VSI2gsdpRfyYG7QZ,70.222,228.15,14.25
AVOBO54KmqdBKT6lEpe3,114.747,313.1,6.81
AVOE_PBayPAVaYFl9RkG,152.909,435.92,6.53
AVOFM2RryPAVaYFl9RkI,55.495,880.26,28.18
AVOFhnCuv1g047L0YmAW,166.311,494.78,0
AVOFoU3d8L8TTYaU6WLO,60.867,1118.06,0
AVOYeuAslc5YzlM8MjfP,66.4,1000.11,41.3
AVOZDRfplc5YzlM8Mjfe,97.103,364.47,16.91
AVOoEiwAg_BfZfoZ9q8V,102.417,247.34,21.09
AVOoSS3Og_BfZfoZ9q8Y,57.943,739.79,43.44
AVOof7C1g_BfZfoZ9q8a,51.247,979.32,31.08
AVOY1bP-lc5YzlM8Mjfa,73.897,273.03,0
AVOfl-txkRxG9-ZgWdbC,68.092,695.14,0
AVOoZKe8g_BfZfoZ9q8Z,52.4,950.05,28.16
AVOottnHg_BfZfoZ9q8c,51.006,641.56,0
AVOpW7JIAT38Dxf03J1_,50.424,609.24,5.79
AVOpkwjNAT38Dxf03J2C,59.061,335.03,28.5
AVOpyYNAAT38Dxf03J2E,90.156,683.15,24.97
AVOq294MxpxD3bqhifq3,49.583,861.16,19.41
AVOu8y6dFX5MYoNC24n8,64.685,927.06,23.39
AVOyIaTo2ckq8NSMkime,60.793,967.44,27.96
AVOqwGEpxpxD3bqhifq1,50.865,731.85,16.93
AVOvC20lFX5MYoNC24n9,57.318,503,27.54
AVOvQl6EFX5MYoNC24n_,62.243,643.26,38.58
AVOyJ5zC2ckq8NSMkimi,54.9,721.83,58.85
AVO0n4du9V3DJQigIHTF,51.501,947.5,59.96
AVO3oJx3RtTv5l1yiikr,50.555,1045.45,55.77
AVO317imRtTv5l1yiiku,49.92,1048.97,46.92
AVO5xjaIvL-Oy8C5h1Fy,53.798,681.82,33.71
AVO9244TKswuNmerMAV8,70.449,416.23,19.59
AVPDAF2NLjzBw7Rwx1td,93.363,459.65,21.01
AVO5IOssUrgJ6PzmvRhU,51.746,442.94,9.66
AVO-Yv3SKswuNmerMAWA,89.671,807.93,6.86
AVO5PFdvUrgJ6PzmvRhV,50.24,664.14,0
AVPh6MRZD3bwrN-fcB7a,116.896,446.34,13.37
AVRm1FCidIivaTilU-ZT,52.722,1002.15,53.77
AVRn5vV6GcnKEtmAm6eK,55.826,1133.53,55.61
AVPDN1bHLjzBw7Rwx1tf,62.973,248.47,14.19
AVRoHhKHGcnKEtmAm6eP,67.315,489.46,50.82
AVPDUdbOLjzBw7Rwx1tg,58.312,572.96,21.55
AVPg7ydAgpupgmaWHdxJ,84.406,156.27,0
AVPiHMb7D3bwrN-fcB7e,57.792,431.48,0
AVRoAn2kGcnKEtmAm6eN,58.19,725.99,28.25
AVTKSP9qIIvlMi54dHsC,122.881,926.59,28.27
AVSlDt2-ues6la_EvV5C,51.366,876.73,18.46
AVS2HUs9YQzcAIYxSs0A,52.069,882.83,69.26
AVS2VE3FYQzcAIYxSs0C,52.317,672.08,75.31
AVTICDZaFvgPiaEjekoy,51.681,901.57,66.76
AVRoORzKGcnKEtmAm6eS,64.951,862.98,43.23
AVRocDw9GcnKEtmAm6eW,74.509,785.12,53.98
AVS6hpe3fGSGjTlDSC9y,71.45,346.19,32.77
AVT3PR6jzlYwYiXREuB6,55.603,737.09,52.43
AVT3WJ0TzlYwYiXREuB7,62.539,796.94,65.31
AVT3j4XlzlYwYiXREuB-,51.737,1000.52,69.61
AVT4hz3bS8MWVvzKrcm5,62.633,863.67,49.91
AVT42TWJS8MWVvzKrcm-,121.633,293.66,18.24
AVJkD_HXSrDTrXg4plDb,125.942,564.94,38.88
AVJhDlNqaMc9yvLldSLt,88.097,483.21,16.14
AVJldF3LiY43Jv3eX0hI,66.811,494.83,22.46
AVJlkI6PiY43Jv3eX0hJ,215.82,156.55,25.59
AVJl4lwWiY43Jv3eX0hM,73.518,375.37,56.86
AVJmGS17iY43Jv3eX0hO,65.741,454.42,18.02
AVJ6sn33pNeT6-VcQu3l,54.372,723.99,25.02
AVJ6zhbWpNeT6-VcQu3n,83.603,267.86,12.49
AVJl_lS8iY43Jv3eX0hN,78.342,153.81,6.25
AVJ6l8JlpNeT6-VcQu3j,143.505,289.65,23.21
AVKJ7sukUh2c4ge8064a,51.353,1135.16,64.94
AVKJZkOZUh2c4ge8064V,230.154,138.88,14.69
AVKJgMzfUh2c4ge8064W,86.024,637.93,18.19
AVKJnNxYUh2c4ge8064X,56.685,407.09,16.35
AVKeh_Mf9Nf0hOj-hf22,55.915,384.99,34.61
AVKevzdD9Nf0hOj-hf26,152.939,295.39,17.19
AVKtVqhgMGa0aydAWgI_,56.898,137.47,6.56
AVKtciPuMGa0aydAWgJB,63.935,488.1,7.56
AVJ9s68jTw8lgwptn0-s,101.82,500.32,0
AVLMPM4MMFeFjzqa1MII,101.745,332.31,16.73
AVLBcnxe8uCvMwS4XxJN,55.472,893.03,34.88
AVLMjwpGMFeFjzqa1MIL,47.087,525.66,49.47
AVLRYtyO6yywsC3U7NdE,238.527,243.52,10.09
AVKw_BH8ngG8B2OEHX-I,57.842,806.32,15.84
AVK8XGeBdrcoVnJpWK_9,310.26,223.9,5.92
AVLFzN2LZcWGU93s1WqG,90.497,502.17,19.91
AVLF6Gf9ZcWGU93s1WqH,95.428,223.64,20.72
AVLMV86NMFeFjzqa1MIJ,66.812,612.17,34.75
AVMt-ipMBs9GBwZ63mvK,114.779,349.23,0
AVMzjgMdyDF4XZypKIns,58.237,652.96,11.68
AVMlEj3YKodYmN8i_ssa,57.591,965.61,60.73
AVM0fZyprYEvN7S55jOB,65.677,368.32,0
AVMk219wKodYmN8i_ssW,111.598,501.62,13.99
AVLU7UFShtzPbUO3lZSl,56.705,680.46,73.13
AVMUTUet68sla7A6Fa03,64.361,715.53,58.37
AVMk9wnnKodYmN8i_ssY,64.993,713.67,20.5
AVMUcYad68sla7A6Fa06,61.008,390.88,24.41
AVNqfPgHv-dQ3RmIRhTD,56.511,1113.93,33.03
AVNBgL2NeKkEHGUGmz6E,51.855,708.01,28.66
AVNcN-hVPnKhxn8znTTQ,57.189,791.02,34.47
AVNsNGYbO9ixzk3ZULuh,56.341,817.83,17.78
AVM0oMcUrYEvN7S55jOH,61.017,298.32,0
AVM9u9234rOXxX_VIwEj,55.686,586.33,26.45
AVNXLLcsnpR_PNX8I6en,56.078,838.64,9.83
AVNxPy6NcQp15pmC-_hD,65.815,529.67,6.32
AVNXSIBhnpR_PNX8I6eo,58.64,881.36,0
AVN2LtGl94rhL_sXlC3E,156.457,419.64,0
